MeasuredPoint,time,samplerate
-0.2503357,0.0,1000
-0.36898804,0.0010049241282283187,1000
0.24630737,0.0020098482564566375,1000
0.4624939,0.0030147723846849564,1000
0.07330322,0.004019696512913275,1000
-0.44143677,0.005024620641141593,1000
-0.3258667,0.006029544769369913,1000
0.22216797,0.007034468897598231,1000
0.47836304,0.00803939302582655,1000
0.06225586,0.00904431715405487,1000
-0.43414307,0.010049241282283187,1000
-0.33078003,0.011054165410511506,1000
0.22579956,0.012059089538739826,1000
0.4761963,0.013064013666968143,1000
0.06317139,0.014068937795196463,1000
-0.43481445,0.01507386192342478,1000
-0.33065796,0.0160787860516531,1000
0.22628784,0.017083710179881417,1000
0.475708,0.01808863430810974,1000
0.06335449,0.019093558436338056,1000
-0.4353943,0.020098482564566374,1000
-0.3298645,0.021103406692794695,1000
0.2260437,0.022108330821023012,1000
0.47613525,0.02311325494925133,1000
0.062927246,0.02411817907747965,1000
-0.43521118,0.02512310320570797,1000
-0.32992554,0.026128027333936286,1000
0.2263794,0.027132951462164604,1000
0.47598267,0.028137875590392925,1000
0.06274414,0.029142799718621243,1000
-0.43536377,0.03014772384684956,1000
-0.32977295,0.03115264797507788,1000
0.22659302,0.0321575721033062,1000
0.47595215,0.03316249623153452,1000
0.0625,0.034167420359762835,1000
-0.43545532,0.035172344487991156,1000
-0.3296814,0.03617726861621948,1000
0.2267456,0.03718219274444779,1000
0.47592163,0.03818711687267611,1000
0.062316895,0.03919204100090443,1000
-0.43554688,0.04019696512913275,1000
-0.32943726,0.04120188925736107,1000
0.2268982,0.04220681338558939,1000
0.4758911,0.043211737513817704,1000
0.062042236,0.044216661642046025,1000
-0.43569946,0.045221585770274346,1000
-0.3293152,0.04622650989850266,1000
0.22720337,0.04723143402673098,1000
0.4758606,0.0482363581549593,1000
0.06173706,0.049241282283187617,1000
-0.43582153,0.05024620641141594,1000
-0.32913208,0.05125113053964425,1000
0.22738647,0.05225605466787257,1000
0.47576904,0.053260978796100894,1000
0.06149292,0.05426590292432921,1000
-0.4359436,0.05527082705255753,1000
-0.32885742,0.05627575118078585,1000
0.22769165,0.057280675309014165,1000
0.4756775,0.058285599437242486,1000
0.061187744,0.05929052356547081,1000
-0.43597412,0.06029544769369912,1000
-0.32870483,0.06130037182192744,1000
