Data_Key,Data_Value
zero_crossings,527
mean_abs_val,-3.0333614328198317e-05
slope_sgn_chng,1577
wavelength,34.3345032435
willsamplitude,1221
v_order,0.09590649281264967
log_detect,
autoregression,
emg_cdf,
