Data_Key,Data_Value
zero_crossings,1549
mean_abs_val,-2.2065943725160284e-05
slope_sgn_chng,4933
wavelength,168.883605866428
willsamplitude,2241
v_order,0.42778552731071656
log_detect,
autoregression,
emg_cdf,
