Data_Key,Data_Value
zero_crossings,1464
mean_abs_val,-1.3409518802283646e-05
slope_sgn_chng,5725
wavelength,126.959137037614
willsamplitude,2207
v_order,0.2018638780878095
log_detect,
autoregression,
emg_cdf,
